strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,avg_duration,cagr,sortino,params
Exp_ADX_20,param_scan,"ADX=20",1772,0.14,2543.25,254.33,0.67,1.12,46.17,31.0,0,22.48,2.49,"{""adx_min"":20}"
Exp_ADX_22,param_scan,"ADX=22",1616,0.18,2835.451,283.55,0.69,1.14,43.17,31.3,0,24.05,2.56,"{""adx_min"":22}"
Exp_ADX_24,param_scan,"ADX=24",1463,0.24,3488.636,348.86,0.80,1.18,38.02,32.1,0,27.21,2.83,"{""adx_min"":24}"
Exp_ADX_26,param_scan,"ADX=26",1313,0.28,3701.087,370.11,0.74,1.19,25.71,32.8,0,28.16,2.55,"{""adx_min"":26}"
Exp_ADX_30,param_scan,"ADX=30",1072,0.37,3929.941,392.99,0.76,1.25,11.96,33.5,0,29.14,2.85,"{""adx_min"":30}"
Exp_ADX_32,param_scan,"ADX=32",944,0.34,3220.462,322.05,0.63,1.23,19.11,33.3,0,25.96,2.45,"{""adx_min"":32}"
Exp_ADX_36,param_scan,"ADX=36",733,0.34,2499.451,249.95,0.54,1.26,15.82,33.2,0,22.24,2.28,"{""adx_min"":36}"
Exp_DC_10,param_scan,"DC=10",1227,0.33,4009.437,400.94,0.80,1.23,17.73,33.0,0,29.47,2.76,"{""dc_period"":10}"
Exp_DC_14,param_scan,"DC=14",1202,0.36,4305.331,430.53,0.81,1.24,17.09,33.4,0,30.67,2.75,"{""dc_period"":14}"
Exp_DC_16,param_scan,"DC=16",1188,0.38,4550.13,455.01,0.82,1.24,16.26,33.5,0,31.62,2.73,"{""dc_period"":16}"
Exp_DC_18,param_scan,"DC=18",1185,0.36,4264.354,426.44,0.79,1.23,16.23,33.4,0,30.51,2.70,"{""dc_period"":18}"
Exp_DC_25,param_scan,"DC=25",1172,0.37,4349.493,434.95,0.78,1.23,16.30,33.5,0,30.84,2.68,"{""dc_period"":25}"
Exp_DC_30,param_scan,"DC=30",1170,0.37,4312.306,431.23,0.79,1.24,16.28,33.6,0,30.70,2.70,"{""dc_period"":30}"
Exp_DC_40,param_scan,"DC=40",1159,0.41,4771.77,477.18,0.81,1.25,16.27,33.7,0,32.45,2.75,"{""dc_period"":40}"
Exp_ATR_00,param_scan,"ATR_MULT=0.0",1564,0.17,2583.304,258.33,0.62,1.13,41.92,31.3,0,22.70,2.36,"{""atr_mult"":0.0}"
Exp_ATR_02,param_scan,"ATR_MULT=0.2",1448,0.18,2650.137,265.01,0.60,1.13,40.00,31.8,0,23.07,2.20,"{""atr_mult"":0.2}"
Exp_ATR_03,param_scan,"ATR_MULT=0.3",1373,0.2,2690.56,269.06,0.64,1.15,34.22,31.8,0,23.28,2.46,"{""atr_mult"":0.3}"
Exp_ATR_04,param_scan,"ATR_MULT=0.4",1275,0.26,3256.714,325.67,0.64,1.17,18.25,32.4,0,26.14,2.33,"{""atr_mult"":0.4}"
Exp_ATR_06,param_scan,"ATR_MULT=0.6",1079,0.4,4289.62,428.96,0.78,1.26,15.48,33.6,0,30.61,2.71,"{""atr_mult"":0.6}"
Exp_ATR_07,param_scan,"ATR_MULT=0.7",999,0.29,2943.391,294.34,0.63,1.21,26.07,33.2,0,24.60,2.47,"{""atr_mult"":0.7}"
Exp_ATR_08,param_scan,"ATR_MULT=0.8",904,0.25,2301.703,230.17,0.55,1.21,29.95,33.1,0,21.10,2.19,"{""atr_mult"":0.8}"
Exp_ATR_10,param_scan,"ATR_MULT=1.0",741,0.25,1839.506,183.95,0.43,1.20,22.49,32.8,0,18.21,1.76,"{""atr_mult"":1.0}"
Exp_ATR_12,param_scan,"ATR_MULT=1.2",590,0.33,1958.661,195.87,0.45,1.28,21.01,34.2,0,18.99,1.89,"{""atr_mult"":1.2}"
Exp_ATR_15,param_scan,"ATR_MULT=1.5",404,0.59,2367.245,236.72,0.51,1.49,17.58,38.4,0,21.48,1.95,"{""atr_mult"":1.5}"
Exp_Trail_015,param_scan,"TRAIL_OFF=0.15",1309,0.02,254.459,25.45,0.14,1.03,32.64,42.2,0,3.70,0.54,"{""trail_offset"":0.15}"
Exp_Trail_02,param_scan,"TRAIL_OFF=0.2",1244,0.1,1230.041,123.00,0.46,1.11,19.92,37.4,0,13.72,1.80,"{""trail_offset"":0.2}"
Exp_Trail_025,param_scan,"TRAIL_OFF=0.25",1206,0.22,2665.485,266.55,0.67,1.18,16.17,34.8,0,23.15,2.37,"{""trail_offset"":0.25}"
Exp_Trail_035,param_scan,"TRAIL_OFF=0.35",1142,0.54,6193.115,619.31,0.85,1.28,18.09,32.7,0,37.20,2.87,"{""trail_offset"":0.35}"
Exp_Trail_04,param_scan,"TRAIL_OFF=0.4",1126,0.61,6914.204,691.42,0.84,1.29,17.90,31.6,0,39.32,2.83,"{""trail_offset"":0.4}"
Exp_Trail_045,param_scan,"TRAIL_OFF=0.45",1110,0.69,7673.914,767.39,0.85,1.30,17.90,31.0,0,41.38,2.92,"{""trail_offset"":0.45}"
