strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,avg_duration,cagr,sortino,params
V3_MTF_adx_20_0_100,mtf_variant,"4H=adx ADX4H>20 RSI4H(0-100)",1056,0.15,1574.316,157.43,0.46,1.14,40.63,31.0,0,16.37,1.89,"{""confirm_4h"":""adx"",""adx_4h_min"":20,""rsi_4h_min"":0,""rsi_4h_max"":100}"
V3_MTF_adx_25_0_100,mtf_variant,"4H=adx ADX4H>25 RSI4H(0-100)",746,0.11,786.162,78.62,0.29,1.13,18.49,30.6,0,9.74,1.32,"{""confirm_4h"":""adx"",""adx_4h_min"":25,""rsi_4h_min"":0,""rsi_4h_max"":100}"
V3_MTF_adx_30_0_100,mtf_variant,"4H=adx ADX4H>30 RSI4H(0-100)",513,0.29,1465.651,146.57,0.40,1.27,13.82,33.5,0,15.56,1.56,"{""confirm_4h"":""adx"",""adx_4h_min"":30,""rsi_4h_min"":0,""rsi_4h_max"":100}"
V3_MTF_rsi_0_40_70,mtf_variant,"4H=rsi ADX4H>0 RSI4H(40-70)",1531,0.1,1556.853,155.69,0.42,1.09,51.94,31.0,0,16.24,1.69,"{""confirm_4h"":""rsi"",""adx_4h_min"":0,""rsi_4h_min"":40,""rsi_4h_max"":70}"
V3_MTF_rsi_0_45_75,mtf_variant,"4H=rsi ADX4H>0 RSI4H(45-75)",1665,0.1,1735.807,173.58,0.47,1.09,56.74,31.1,0,17.51,1.86,"{""confirm_4h"":""rsi"",""adx_4h_min"":0,""rsi_4h_min"":45,""rsi_4h_max"":75}"
V3_MTF_rsi_0_50_80,mtf_variant,"4H=rsi ADX4H>0 RSI4H(50-80)",1647,0.15,2509.695,250.97,0.62,1.12,25.00,31.2,0,22.29,2.28,"{""confirm_4h"":""rsi"",""adx_4h_min"":0,""rsi_4h_min"":50,""rsi_4h_max"":80}"
V3_MTF_rsi_0_35_65,mtf_variant,"4H=rsi ADX4H>0 RSI4H(35-65)",1304,0.11,1497.071,149.71,0.46,1.11,44.89,31.1,0,15.80,1.89,"{""confirm_4h"":""rsi"",""adx_4h_min"":0,""rsi_4h_min"":35,""rsi_4h_max"":65}"
V3_MTF_ema_adx_20_0_100,mtf_variant,"4H=ema_adx ADX4H>20 RSI4H(0-100)",860,0.24,2061.65,206.16,0.51,1.20,19.45,32.4,0,19.65,1.93,"{""confirm_4h"":""ema_adx"",""adx_4h_min"":20,""rsi_4h_min"":0,""rsi_4h_max"":100}"
V3_MTF_ema_adx_25_0_100,mtf_variant,"4H=ema_adx ADX4H>25 RSI4H(0-100)",641,0.18,1175.403,117.54,0.36,1.19,16.46,32.0,0,13.27,1.57,"{""confirm_4h"":""ema_adx"",""adx_4h_min"":25,""rsi_4h_min"":0,""rsi_4h_max"":100}"
V3_MTF_ema_rsi_0_40_75,mtf_variant,"4H=ema_rsi ADX4H>0 RSI4H(40-75)",1002,0.26,2581.287,258.13,0.61,1.21,16.64,33.6,0,22.69,2.41,"{""confirm_4h"":""ema_rsi"",""adx_4h_min"":0,""rsi_4h_min"":40,""rsi_4h_max"":75}"
V3_MTF_ema_rsi_0_50_80,mtf_variant,"4H=ema_rsi ADX4H>0 RSI4H(50-80)",1095,0.28,3107.089,310.71,0.66,1.21,18.57,33.2,0,25.41,2.42,"{""confirm_4h"":""ema_rsi"",""adx_4h_min"":0,""rsi_4h_min"":50,""rsi_4h_max"":80}"
V3_MTF_all_20_40_100,mtf_variant,"4H=all ADX4H>20 RSI4H(40-100)",860,0.24,2061.65,206.16,0.51,1.20,19.45,32.4,0,19.65,1.93,"{""confirm_4h"":""all"",""adx_4h_min"":20,""rsi_4h_min"":40,""rsi_4h_max"":100}"
V3_MTF_all_25_45_100,mtf_variant,"4H=all ADX4H>25 RSI4H(45-100)",641,0.18,1175.403,117.54,0.36,1.19,16.46,32.0,0,13.27,1.57,"{""confirm_4h"":""all"",""adx_4h_min"":25,""rsi_4h_min"":45,""rsi_4h_max"":100}"
V3_MTF_none_0_0_100,mtf_variant,"4H=none ADX4H>0 RSI4H(0-100)",1857,0.16,3025.416,302.54,0.65,1.12,47.22,31.1,0,25.01,2.37,"{""confirm_4h"":""none"",""adx_4h_min"":0,""rsi_4h_min"":0,""rsi_4h_max"":100}"
V3_DCRSI_14_40_100,dc_rsi_filter,"DC+RSI(14) 40<RSI<100",1179,0.36,4248.389,424.84,0.77,1.23,16.24,33.4,0,30.44,2.68,"{""rsi_period"":14,""rsi_min"":40,""rsi_max"":100}"
V3_DCRSI_14_45_100,dc_rsi_filter,"DC+RSI(14) 45<RSI<100",1179,0.36,4248.389,424.84,0.77,1.23,16.24,33.4,0,30.44,2.68,"{""rsi_period"":14,""rsi_min"":45,""rsi_max"":100}"
V3_DCRSI_14_50_100,dc_rsi_filter,"DC+RSI(14) 50<RSI<100",1179,0.36,4248.389,424.84,0.77,1.23,16.24,33.4,0,30.44,2.68,"{""rsi_period"":14,""rsi_min"":50,""rsi_max"":100}"
V3_DCRSI_14_55_100,dc_rsi_filter,"DC+RSI(14) 55<RSI<100",1179,0.36,4248.389,424.84,0.77,1.23,16.24,33.4,0,30.44,2.68,"{""rsi_period"":14,""rsi_min"":55,""rsi_max"":100}"
V3_DCRSI_14_60_100,dc_rsi_filter,"DC+RSI(14) 60<RSI<100",1179,0.36,4248.389,424.84,0.77,1.23,16.24,33.4,0,30.44,2.68,"{""rsi_period"":14,""rsi_min"":60,""rsi_max"":100}"
V3_DCRSI_14_40_75,dc_rsi_filter,"DC+RSI(14) 40<RSI<75",610,0,2.041,0.20,0.00,1.00,37.84,30.2,0,0.03,0.00,"{""rsi_period"":14,""rsi_min"":40,""rsi_max"":75}"
V3_DCRSI_14_40_80,dc_rsi_filter,"DC+RSI(14) 40<RSI<80",955,0.12,1116.534,111.65,0.37,1.12,23.05,32.6,0,12.77,1.67,"{""rsi_period"":14,""rsi_min"":40,""rsi_max"":80}"
V3_DCRSI_14_50_80,dc_rsi_filter,"DC+RSI(14) 50<RSI<80",955,0.12,1116.534,111.65,0.37,1.12,23.05,32.6,0,12.77,1.67,"{""rsi_period"":14,""rsi_min"":50,""rsi_max"":80}"
V3_DCRSI_14_50_75,dc_rsi_filter,"DC+RSI(14) 50<RSI<75",610,0,2.041,0.20,0.00,1.00,37.84,30.2,0,0.03,0.00,"{""rsi_period"":14,""rsi_min"":50,""rsi_max"":75}"
V3_DCRSI_7_40_100,dc_rsi_filter,"DC+RSI(7) 40<RSI<100",1179,0.36,4248.389,424.84,0.77,1.23,16.24,33.4,0,30.44,2.68,"{""rsi_period"":7,""rsi_min"":40,""rsi_max"":100}"
V3_DCRSI_7_50_100,dc_rsi_filter,"DC+RSI(7) 50<RSI<100",1179,0.36,4248.389,424.84,0.77,1.23,16.24,33.4,0,30.44,2.68,"{""rsi_period"":7,""rsi_min"":50,""rsi_max"":100}"
V3_DCRSI_7_50_80,dc_rsi_filter,"DC+RSI(7) 50<RSI<80",412,0.03,133.052,13.31,0.06,1.04,27.32,30.3,0,2.02,0.29,"{""rsi_period"":7,""rsi_min"":50,""rsi_max"":80}"
V3_DCRSI_21_40_100,dc_rsi_filter,"DC+RSI(21) 40<RSI<100",1179,0.36,4248.389,424.84,0.77,1.23,16.24,33.4,0,30.44,2.68,"{""rsi_period"":21,""rsi_min"":40,""rsi_max"":100}"
V3_DCRSI_21_50_100,dc_rsi_filter,"DC+RSI(21) 50<RSI<100",1179,0.36,4248.389,424.84,0.77,1.23,16.24,33.4,0,30.44,2.68,"{""rsi_period"":21,""rsi_min"":50,""rsi_max"":100}"
V3_ATRSL_15_30,atr_adaptive_exit,"ATR_SL=1.5x ATR_TP=3.0x",1944,-0.03,-514.978,-51.50,-0.88,0.84,52.05,31.1,0,-10.95,-1.62,"{""atr_sl_mult"":1.5,""atr_tp_mult"":3.0}"
V3_ATRSL_15_40,atr_adaptive_exit,"ATR_SL=1.5x ATR_TP=4.0x",1928,-0.03,-535.264,-53.53,-0.88,0.84,54.07,27.7,0,-11.56,-1.67,"{""atr_sl_mult"":1.5,""atr_tp_mult"":4.0}"
V3_ATRSL_15_50,atr_adaptive_exit,"ATR_SL=1.5x ATR_TP=5.0x",1916,-0.03,-518.324,-51.83,-0.84,0.84,52.67,25.9,0,-11.05,-1.64,"{""atr_sl_mult"":1.5,""atr_tp_mult"":5.0}"
V3_ATRSL_15_60,atr_adaptive_exit,"ATR_SL=1.5x ATR_TP=6.0x",1895,-0.03,-474.046,-47.40,-0.69,0.87,50.86,23.8,0,-9.79,-1.41,"{""atr_sl_mult"":1.5,""atr_tp_mult"":6.0}"
V3_ATRSL_20_30,atr_adaptive_exit,"ATR_SL=2.0x ATR_TP=3.0x",1911,-0.02,-459.931,-45.99,-0.73,0.87,47.82,34.9,0,-9.40,-1.34,"{""atr_sl_mult"":2.0,""atr_tp_mult"":3.0}"
V3_ATRSL_20_40,atr_adaptive_exit,"ATR_SL=2.0x ATR_TP=4.0x",1894,-0.03,-476.688,-47.67,-0.74,0.87,48.36,31.3,0,-9.86,-1.42,"{""atr_sl_mult"":2.0,""atr_tp_mult"":4.0}"
V3_ATRSL_20_50,atr_adaptive_exit,"ATR_SL=2.0x ATR_TP=5.0x",1879,-0.02,-447.672,-44.77,-0.68,0.87,45.74,29.5,0,-9.08,-1.35,"{""atr_sl_mult"":2.0,""atr_tp_mult"":5.0}"
V3_ATRSL_20_60,atr_adaptive_exit,"ATR_SL=2.0x ATR_TP=6.0x",1857,-0.02,-419.933,-41.99,-0.58,0.89,45.00,27.1,0,-8.36,-1.20,"{""atr_sl_mult"":2.0,""atr_tp_mult"":6.0}"
V3_ATRSL_20_80,atr_adaptive_exit,"ATR_SL=2.0x ATR_TP=8.0x",1823,-0.02,-375.491,-37.55,-0.46,0.91,42.19,23.8,0,-7.27,-1.04,"{""atr_sl_mult"":2.0,""atr_tp_mult"":8.0}"
V3_ATRSL_25_40,atr_adaptive_exit,"ATR_SL=2.5x ATR_TP=4.0x",1867,-0.02,-419.25,-41.93,-0.62,0.89,42.81,34.4,0,-8.34,-1.19,"{""atr_sl_mult"":2.5,""atr_tp_mult"":4.0}"
V3_ATRSL_25_50,atr_adaptive_exit,"ATR_SL=2.5x ATR_TP=5.0x",1847,-0.02,-384.57,-38.46,-0.56,0.90,39.63,32.3,0,-7.49,-1.11,"{""atr_sl_mult"":2.5,""atr_tp_mult"":5.0}"
V3_ATRSL_25_60,atr_adaptive_exit,"ATR_SL=2.5x ATR_TP=6.0x",1824,-0.02,-388.954,-38.90,-0.52,0.90,40.72,29.9,0,-7.59,-1.08,"{""atr_sl_mult"":2.5,""atr_tp_mult"":6.0}"
V3_ATRSL_25_80,atr_adaptive_exit,"ATR_SL=2.5x ATR_TP=8.0x",1789,-0.02,-380.051,-38.01,-0.46,0.91,41.78,26.0,0,-7.38,-1.03,"{""atr_sl_mult"":2.5,""atr_tp_mult"":8.0}"
V3_ATRSL_30_50,atr_adaptive_exit,"ATR_SL=3.0x ATR_TP=5.0x",1829,-0.02,-407.099,-40.71,-0.61,0.89,42.16,34.5,0,-8.04,-1.16,"{""atr_sl_mult"":3.0,""atr_tp_mult"":5.0}"
V3_ATRSL_30_60,atr_adaptive_exit,"ATR_SL=3.0x ATR_TP=6.0x",1804,-0.02,-399.992,-40.00,-0.55,0.90,41.40,31.9,0,-7.86,-1.07,"{""atr_sl_mult"":3.0,""atr_tp_mult"":6.0}"
V3_ATRSL_30_80,atr_adaptive_exit,"ATR_SL=3.0x ATR_TP=8.0x",1766,-0.02,-391.427,-39.14,-0.49,0.91,42.06,28.0,0,-7.65,-1.04,"{""atr_sl_mult"":3.0,""atr_tp_mult"":8.0}"
V3_ATRSL_30_100,atr_adaptive_exit,"ATR_SL=3.0x ATR_TP=10.0x",1732,-0.01,-256.857,-25.69,-0.26,0.95,35.54,25.2,0,-4.65,-0.61,"{""atr_sl_mult"":3.0,""atr_tp_mult"":10.0}"
V3_Vol_20_12,dc_volume,"DC+Vol(p=20) >1.2x avg",1153,0.49,5622.909,562.29,0.84,1.26,16.33,34.2,0,35.40,2.75,"{""vol_period"":20,""vol_mult"":1.2}"
V3_Vol_20_15,dc_volume,"DC+Vol(p=20) >1.5x avg",1114,0.36,3988.014,398.80,0.76,1.24,14.23,33.7,0,29.38,2.76,"{""vol_period"":20,""vol_mult"":1.5}"
V3_Vol_20_20,dc_volume,"DC+Vol(p=20) >2.0x avg",986,0.59,5851.245,585.12,0.88,1.34,12.73,35.1,0,36.14,2.85,"{""vol_period"":20,""vol_mult"":2.0}"
V3_Vol_20_25,dc_volume,"DC+Vol(p=20) >2.5x avg",844,0.55,4605.91,460.59,0.83,1.38,11.92,34.8,0,31.83,2.83,"{""vol_period"":20,""vol_mult"":2.5}"
V3_Vol_20_30,dc_volume,"DC+Vol(p=20) >3.0x avg",672,0.41,2730.67,273.07,0.69,1.39,22.41,35.1,0,23.50,2.68,"{""vol_period"":20,""vol_mult"":3.0}"
V3_Vol_10_15,dc_volume,"DC+Vol(p=10) >1.5x avg",1088,0.32,3518.705,351.87,0.73,1.23,17.10,33.5,0,27.35,2.68,"{""vol_period"":10,""vol_mult"":1.5}"
V3_Vol_10_20,dc_volume,"DC+Vol(p=10) >2.0x avg",914,0.34,3129.505,312.95,0.74,1.29,24.91,33.7,0,25.52,2.72,"{""vol_period"":10,""vol_mult"":2.0}"
V3_Vol_10_25,dc_volume,"DC+Vol(p=10) >2.5x avg",707,0.52,3668.195,366.82,0.79,1.43,20.49,35.6,0,28.02,2.77,"{""vol_period"":10,""vol_mult"":2.5}"
V3_Vol_50_15,dc_volume,"DC+Vol(p=50) >1.5x avg",1127,0.42,4695.579,469.56,0.81,1.26,13.03,34.0,0,32.16,2.78,"{""vol_period"":50,""vol_mult"":1.5}"
V3_Vol_50_20,dc_volume,"DC+Vol(p=50) >2.0x avg",1040,0.56,5788.522,578.85,0.89,1.32,13.03,34.6,0,35.94,2.90,"{""vol_period"":50,""vol_mult"":2.0}"
V3_Vol_50_25,dc_volume,"DC+Vol(p=50) >2.5x avg",922,0.74,6853.099,685.31,0.93,1.40,12.08,35.2,0,39.15,2.85,"{""vol_period"":50,""vol_mult"":2.5}"
V3_Ichi_9_26_52,ichimoku,"Ichimoku(9/26/52)",5116,-0.01,-476.023,-47.60,-0.36,0.97,75.38,35.4,0,-9.84,-0.87,"{""tenkan"":9,""kijun"":26,""senkou_b"":52}"
V3_Ichi_7_22_44,ichimoku,"Ichimoku(7/22/44)",5640,-0.01,-737.12,-73.71,-0.68,0.95,84.88,33.4,0,-19.28,-1.48,"{""tenkan"":7,""kijun"":22,""senkou_b"":44}"
V3_Ichi_13_34_68,ichimoku,"Ichimoku(13/34/68)",4519,0,13.799,1.38,0.01,1.00,65.54,35.7,0,0.22,0.02,"{""tenkan"":13,""kijun"":34,""senkou_b"":68}"
V3_Ichi_9_26_78,ichimoku,"Ichimoku(9/26/78)",5028,-0.01,-444.035,-44.40,-0.35,0.98,74.87,35.6,0,-8.98,-0.85,"{""tenkan"":9,""kijun"":26,""senkou_b"":78}"
V3_Ichi_20_60_120,ichimoku,"Ichimoku(20/60/120)",3742,0.04,1361.448,136.14,0.41,1.03,53.26,34.3,0,14.77,1.48,"{""tenkan"":20,""kijun"":60,""senkou_b"":120}"
V3_Ichi_9_26_104,ichimoku,"Ichimoku(9/26/104)",4979,-0.01,-523.503,-52.35,-0.44,0.97,78.61,35.2,0,-11.20,-1.04,"{""tenkan"":9,""kijun"":26,""senkou_b"":104}"
V3_Ichi_5_13_26,ichimoku,"Ichimoku(5/13/26)",7043,-0.01,-928.047,-92.80,-1.17,0.93,95.50,33.5,0,-34.42,-2.24,"{""tenkan"":5,""kijun"":13,""senkou_b"":26}"
V3_NB_ADX24,newbase_opt,"NB+ADX=24",1506,0.84,12614.847,1261.48,1.10,1.29,32.86,31.7,0,51.98,3.21,"{""adx_min"":24}"
V3_NB_ADX26,newbase_opt,"NB+ADX=26",1349,0.88,11934.713,1193.47,0.99,1.29,15.27,32.4,0,50.73,2.83,"{""adx_min"":26}"
V3_NB_ADX30,newbase_opt,"NB+ADX=30",1102,1,11056.527,1105.65,0.98,1.35,13.23,33.3,0,49.05,3.10,"{""adx_min"":30}"
V3_NB_ADX32,newbase_opt,"NB+ADX=32",967,0.74,7135.02,713.50,0.80,1.32,19.12,33.0,0,39.94,2.71,"{""adx_min"":32}"
V3_NB_ATR03,newbase_opt,"NB+ATR=0.3",1411,0.65,9193.588,919.36,0.92,1.25,17.04,31.3,0,45.09,2.80,"{""atr_mult"":0.3}"
V3_NB_ATR04,newbase_opt,"NB+ATR=0.4",1313,0.76,9936.315,993.63,0.85,1.24,20.17,31.8,0,46.73,2.57,"{""atr_mult"":0.4}"
V3_NB_ATR06,newbase_opt,"NB+ATR=0.6",1103,1.11,12238.636,1223.86,1.01,1.37,15.30,33.5,0,51.30,3.04,"{""atr_mult"":0.6}"
V3_NB_ATR07,newbase_opt,"NB+ATR=0.7",1015,0.86,8757.619,875.76,0.88,1.34,14.00,33.1,0,44.08,2.93,"{""atr_mult"":0.7}"
V3_NB_Off025,newbase_opt,"NB+Offset=0.25",1260,0.88,11110.693,1111.07,1.00,1.31,18.51,34.6,0,49.15,2.71,"{""trail_offset"":0.25}"
V3_NB_Off035,newbase_opt,"NB+Offset=0.35",1170,1.18,13766.942,1376.69,0.96,1.34,18.44,32.4,0,53.97,2.84,"{""trail_offset"":0.35}"
V3_NB_Off04,newbase_opt,"NB+Offset=0.4",1143,1.19,13576.921,1357.69,0.94,1.35,17.92,31.3,0,53.65,2.93,"{""trail_offset"":0.4}"
V3_NB_Off05,newbase_opt,"NB+Offset=0.5",1101,1.15,12648.165,1264.82,0.91,1.35,17.89,31.2,0,52.04,2.90,"{""trail_offset"":0.5}"
V3_NB_SL006,newbase_opt,"NB+SL=-0.06",1231,0.2,2419.62,241.96,0.66,1.20,22.77,24.5,0,21.79,4.68,"{""stoploss"":-0.06}"
V3_NB_SL008,newbase_opt,"NB+SL=-0.08",1216,0.51,6212.132,621.21,0.88,1.27,13.92,29.5,0,37.26,3.58,"{""stoploss"":-0.08}"
V3_NB_SL012,newbase_opt,"NB+SL=-0.12",1208,0.92,11105.747,1110.57,0.89,1.28,20.60,34.7,0,49.14,2.35,"{""stoploss"":-0.12}"
V3_NB_SL015,newbase_opt,"NB+SL=-0.15",1194,1.43,17068.866,1706.89,0.93,1.31,16.53,37.2,0,59.03,2.07,"{""stoploss"":-0.15}"
V3_NB_Lev3,newbase_opt,"NB+Lev=3",1070,0.55,5930.124,593.01,0.95,1.35,11.66,37.2,0,36.39,2.70,"{""leverage"":3.0}"
V3_NB_Lev4,newbase_opt,"NB+Lev=4",1145,0.63,7157.321,715.73,0.88,1.29,18.77,34.6,0,40.00,2.65,"{""leverage"":4.0}"
V3_NB_Lev7,newbase_opt,"NB+Lev=7",1299,0.44,5740.171,574.02,0.71,1.19,20.97,29.5,0,35.78,2.69,"{""leverage"":7.0}"
V3_NB_TP025,newbase_opt,"NB+TP=0.25",1211,0.98,11892,1189.20,0.99,1.32,17.85,33.6,0,50.65,2.85,"{""tp_big"":0.25}"
V3_NB_TP03,newbase_opt,"NB+TP=0.3",1211,1.02,12409.076,1240.91,1.00,1.33,17.35,33.0,0,51.61,2.91,"{""tp_big"":0.3}"
V3_NB_TP05,newbase_opt,"NB+TP=0.5",1211,1.02,12369.781,1236.98,1.00,1.33,17.36,33.0,0,51.54,2.91,"{""tp_big"":0.5}"
V3_NB_TP06,newbase_opt,"NB+TP=0.6",1211,1.02,12369.781,1236.98,1.00,1.33,17.36,33.0,0,51.54,2.91,"{""tp_big"":0.6}"
V3_NB_DC14,newbase_opt,"NB+DC=14",1234,1.04,12830.174,1283.02,1.05,1.34,18.20,32.9,0,52.36,3.01,"{""dc_period"":14}"
V3_NB_DC16,newbase_opt,"NB+DC=16",1221,1.08,13241.48,1324.15,1.03,1.34,17.36,33.0,0,53.08,2.93,"{""dc_period"":16}"
