strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,cagr,sortino,params
V6_E1_P001,group_e1_short,"E1 mirror ADX=24",2801,0.8003,22416.337,2241.63,1.48,1.24,15.07,27.2,65.78,4.21,"{""mode"":""mirror"",""adx"":24}"
V6_E1_P002,group_e1_short,"E1 mirror ADX=28",2225,0.9903,22034.471,2203.45,1.34,1.27,18.82,28.2,65.34,3.91,"{""mode"":""mirror"",""adx"":28}"
V6_E1_P003,group_e1_short,"E1 mirror ADX=32",1745,0.4666,8141.895,814.19,0.92,1.20,27.68,27.6,42.58,3.17,"{""mode"":""mirror"",""adx"":32}"
V6_E1_P004,group_e1_short,"E1 relaxed_ema ADX=24",3047,1.0219,31136.623,3113.66,1.44,1.21,17.20,27.2,74.41,4.04,"{""mode"":""relaxed_ema"",""adx"":24}"
V6_E1_P005,group_e1_short,"E1 relaxed_ema ADX=28",2403,1.0613,25503.634,2550.36,1.32,1.24,18.84,28.1,69.10,3.88,"{""mode"":""relaxed_ema"",""adx"":28}"
V6_E1_P006,group_e1_short,"E1 relaxed_ema ADX=32",1859,0.5999,11151.507,1115.15,0.99,1.21,31.94,27.9,49.23,3.20,"{""mode"":""relaxed_ema"",""adx"":32}"
V6_E1_P007,group_e1_short,"E1 no_macd ADX=24",3056,1.033,31569.755,3156.98,1.49,1.23,17.21,27.2,74.78,4.15,"{""mode"":""no_macd"",""adx"":24}"
V6_E1_P008,group_e1_short,"E1 no_macd ADX=28",2413,1.1182,26983.145,2698.31,1.37,1.25,18.84,28.1,70.58,4.03,"{""mode"":""no_macd"",""adx"":28}"
V6_E1_P009,group_e1_short,"E1 no_macd ADX=32",1870,0.619,11576.207,1157.62,1.04,1.22,31.93,28.0,50.06,3.38,"{""mode"":""no_macd"",""adx"":32}"
V6_E1_P010,group_e1_short,"E1 adx_only ADX=24",5021,0.1161,5831.356,583.14,1.10,1.08,59.63,25.8,36.07,4.18,"{""mode"":""adx_only"",""adx"":24}"
V6_E1_P011,group_e1_short,"E1 adx_only ADX=28",3887,0.1423,5531.279,553.13,1.09,1.10,49.41,26.2,35.10,4.39,"{""mode"":""adx_only"",""adx"":28}"
V6_E1_P012,group_e1_short,"E1 adx_only ADX=32",2904,0.1284,3729.623,372.96,0.90,1.11,38.21,26.1,28.28,3.91,"{""mode"":""adx_only"",""adx"":32}"
V6_E1_P013,group_e1_short,"E1 short-only mirror ADX=24",1404,0.0252,354.025,35.40,0.18,1.04,35.52,23.8,4.98,0.98,"{""mode"":""short_only_mirror"",""adx"":24}"
V6_E1_P014,group_e1_short,"E1 short-only mirror ADX=28",1127,0.048,541.045,54.10,0.22,1.06,37.27,24.6,7.18,1.25,"{""mode"":""short_only_mirror"",""adx"":28}"
V6_E1_P015,group_e1_short,"E1 short-only relaxed_ema ADX=24",1650,0.0504,831.948,83.19,0.32,1.06,38.49,24.3,10.19,1.65,"{""mode"":""short_only_relaxed_ema"",""adx"":24}"
V6_E1_P016,group_e1_short,"E1 short-only relaxed_ema ADX=28",1305,0.0575,750.175,75.02,0.27,1.07,43.77,24.9,9.39,1.38,"{""mode"":""short_only_relaxed_ema"",""adx"":28}"
V6_E2_P001,group_e2_adx,"E2 ADX=22",1549,0.8924,13822.645,1382.26,1.15,1.31,12.34,29.6,54.06,3.50,"{""ADX_MIN"":22}"
V6_E2_P002,group_e2_adx,"E2 ADX=24",1397,1.1735,16393.43,1639.34,1.30,1.41,26.87,30.6,58.06,4.00,"{""ADX_MIN"":24}"
V6_E2_P003,group_e2_adx,"E2 ADX=26",1241,1.1834,14685.73,1468.57,1.24,1.44,9.71,31.2,55.47,3.90,"{""ADX_MIN"":26}"
V6_E2_P004,group_e2_adx,"E2 ADX=28",1098,1.2731,13978.329,1397.83,1.21,1.50,11.24,31.9,54.32,3.75,"{""ADX_MIN"":28}"
V6_E2_P005,group_e2_adx,"E2 ADX=30",995,1.1252,11195.815,1119.58,1.13,1.50,7.54,32.0,49.32,3.90,"{""ADX_MIN"":30}"
V6_E2_P006,group_e2_adx,"E2 ADX=32",860,0.8868,7626.549,762.65,0.97,1.48,13.75,31.9,41.26,3.47,"{""ADX_MIN"":32}"
V6_E2_P007,group_e2_adx,"E2 ADX=34",754,0.4528,3413.776,341.38,0.66,1.33,14.16,30.2,26.87,2.77,"{""ADX_MIN"":34}"
V6_E3_P001,group_e3_pullback,"E3 pull lb=3 prox=0.3 macd=True",817,0.119,972.302,97.23,0.36,1.14,33.51,27.7,11.50,1.73,"{""lookback"":3,""proximity"":0.3,""require_macd"":true}"
V6_E3_P002,group_e3_pullback,"E3 pull lb=3 prox=0.3 macd=False",950,0.0563,534.811,53.48,0.23,1.08,43.53,27.2,7.11,1.08,"{""lookback"":3,""proximity"":0.3,""require_macd"":false}"
