strategy,group,name,window,phase,timerange,trades,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,cagr,sortino
V6_E2_P001,group_e2_adx,"E2 ADX=22",W1,train,20200101-20230101,764,264.48,1.13,1.25,12.02,54.14,5.13
V6_E2_P001,group_e2_adx,"E2 ADX=22",W1,test,20230101-20240101,291,102.73,1.89,1.42,28.21,102.73,10.55
V6_E2_P001,group_e2_adx,"E2 ADX=22",W2,train,20210101-20240101,799,373.52,1.39,1.34,28.21,67.92,6.16
V6_E2_P001,group_e2_adx,"E2 ADX=22",W2,test,20240101-20250101,244,44.46,1.39,1.33,15.36,44.32,6.45
V6_E2_P001,group_e2_adx,"E2 ADX=22",W3,train,20220101-20250101,693,221.06,1.23,1.33,28.25,47.47,5.35
V6_E2_P001,group_e2_adx,"E2 ADX=22",W3,test,20250101-20260401,250,39.25,1.03,1.29,11.90,30.42,4.38
V6_E2_P003,group_e2_adx,"E2 ADX=26",W1,train,20200101-20230101,623,265.21,1.08,1.31,12.21,54.24,5.09
V6_E2_P003,group_e2_adx,"E2 ADX=26",W1,test,20230101-20240101,226,71.98,1.34,1.37,17.77,71.98,7.83
V6_E2_P003,group_e2_adx,"E2 ADX=26",W2,train,20210101-20240101,637,270.79,1.09,1.33,17.73,54.78,5.03
V6_E2_P003,group_e2_adx,"E2 ADX=26",W2,test,20240101-20250101,190,52.17,1.62,1.53,14.37,52.00,7.81
V6_E2_P003,group_e2_adx,"E2 ADX=26",W3,train,20220101-20250101,543,195.10,1.15,1.39,14.59,43.39,5.57
V6_E2_P003,group_e2_adx,"E2 ADX=26",W3,test,20250101-20260401,202,63.25,1.44,1.55,9.64,48.16,6.24
V6_E2_P004,group_e2_adx,"E2 ADX=28",W1,train,20200101-20230101,556,231.13,0.99,1.32,12.49,49.27,4.74
V6_E2_P004,group_e2_adx,"E2 ADX=28",W1,test,20230101-20240101,201,90.92,1.58,1.52,15.01,90.92,9.54
V6_E2_P004,group_e2_adx,"E2 ADX=28",W2,train,20210101-20240101,566,296.34,1.16,1.41,15.05,58.25,5.54
V6_E2_P004,group_e2_adx,"E2 ADX=28",W2,test,20240101-20250101,163,47.92,1.56,1.61,9.41,47.76,7.81
V6_E2_P004,group_e2_adx,"E2 ADX=28",W3,train,20220101-20250101,477,203.33,1.19,1.49,15.02,44.71,5.97
V6_E2_P004,group_e2_adx,"E2 ADX=28",W3,test,20250101-20260401,178,58.48,1.31,1.57,11.16,44.68,5.52
V6_E2_P005,group_e2_adx,"E2 ADX=30",W1,train,20200101-20230101,511,235.91,0.99,1.35,12.68,49.99,4.86
V6_E2_P005,group_e2_adx,"E2 ADX=30",W1,test,20230101-20240101,179,65.72,1.24,1.45,11.99,65.72,7.62
V6_E2_P005,group_e2_adx,"E2 ADX=30",W2,train,20210101-20240101,516,237.98,1.01,1.38,11.96,50.07,5.07
V6_E2_P005,group_e2_adx,"E2 ADX=30",W2,test,20240101-20250101,148,30.94,1.07,1.43,10.33,30.84,5.19
V6_E2_P005,group_e2_adx,"E2 ADX=30",W3,train,20220101-20250101,431,146.64,0.92,1.40,11.92,35.07,4.72
V6_E2_P005,group_e2_adx,"E2 ADX=30",W3,test,20250101-20260401,157,65.29,1.41,1.73,7.55,49.65,6.19
V6_E2_P006,group_e2_adx,"E2 ADX=32",W1,train,20200101-20230101,448,180.71,0.92,1.36,10.44,41.24,4.91
V6_E2_P006,group_e2_adx,"E2 ADX=32",W1,test,20230101-20240101,146,78.17,1.39,1.66,11.11,78.17,8.50
V6_E2_P006,group_e2_adx,"E2 ADX=32",W2,train,20210101-20240101,442,216.98,1.04,1.48,11.12,46.90,5.11
V6_E2_P006,group_e2_adx,"E2 ADX=32",W2,test,20240101-20250101,126,15.68,0.57,1.25,10.36,15.63,2.62
V6_E2_P006,group_e2_adx,"E2 ADX=32",W3,train,20220101-20250101,362,136.27,0.82,1.43,10.50,33.16,4.02
V6_E2_P006,group_e2_adx,"E2 ADX=32",W3,test,20250101-20260401,140,48.69,1.14,1.64,5.90,37.47,5.02
V6_E5_P007,group_e5_leverage,"E5 lev low=5 high=3 th=0.5",W1,train,20200101-20230101,503,147.72,0.92,1.33,9.01,35.46,4.12
V6_E5_P007,group_e5_leverage,"E5 lev low=5 high=3 th=0.5",W1,test,20230101-20240101,188,33.80,1.00,1.31,14.56,33.80,4.52
V6_E5_P007,group_e5_leverage,"E5 lev low=5 high=3 th=0.5",W2,train,20210101-20240101,524,133.57,0.90,1.31,14.58,32.68,4.03
V6_E5_P007,group_e5_leverage,"E5 lev low=5 high=3 th=0.5",W2,test,20240101-20250101,152,21.02,0.93,1.39,11.69,20.95,3.75
V6_E5_P007,group_e5_leverage,"E5 lev low=5 high=3 th=0.5",W3,train,20220101-20250101,446,63.98,0.70,1.28,14.76,17.91,2.90
V6_E5_P007,group_e5_leverage,"E5 lev low=5 high=3 th=0.5",W3,test,20250101-20260401,164,26.41,0.89,1.41,12.44,20.68,3.30
V6_E5_P008,group_e5_leverage,"E5 lev low=5 high=3 th=0.7",W1,train,20200101-20230101,512,140.05,0.86,1.30,9.98,34.04,3.94
V6_E5_P008,group_e5_leverage,"E5 lev low=5 high=3 th=0.7",W1,test,20230101-20240101,191,36.28,1.03,1.32,15.00,36.28,4.68
V6_E5_P008,group_e5_leverage,"E5 lev low=5 high=3 th=0.7",W2,train,20210101-20240101,533,134.24,0.88,1.29,14.93,32.81,3.99
V6_E5_P008,group_e5_leverage,"E5 lev low=5 high=3 th=0.7",W2,test,20240101-20250101,155,28.33,1.13,1.47,11.84,28.24,4.92
