strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,cagr,sortino,params
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",1095,1.3173,14423.993,1442.4,1.22,1.51,10.95,0,55.05,3.79,"{""vol_period"": 20, ""vol_mult"": 1.0, ""with_macd"": true}"
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",1114,1.3211,14717.033,1471.7,1.2,1.49,11.92,0,55.52,3.72,"{""vol_period"": 20, ""vol_mult"": 1.0, ""with_macd"": false}"
V7_G1_P003,group_g1_volume,"G1 vol vp=20 vm=1.5 macd=True",1058,1.2673,13408.37,1340.84,1.18,1.51,9.55,0,53.36,3.76,"{""vol_period"": 20, ""vol_mult"": 1.5, ""with_macd"": true}"
V7_G1_P004,group_g1_volume,"G1 vol vp=20 vm=1.5 macd=False",1073,1.2937,13881.477,1388.15,1.19,1.51,9.54,0,54.16,3.76,"{""vol_period"": 20, ""vol_mult"": 1.5, ""with_macd"": false}"
V7_G1_P005,group_g1_volume,"G1 vol vp=20 vm=2.0 macd=True",949,1.254,11900.147,1190.01,1.11,1.53,8.65,0,50.67,3.55,"{""vol_period"": 20, ""vol_mult"": 2.0, ""with_macd"": true}"
V7_G1_P006,group_g1_volume,"G1 vol vp=20 vm=2.0 macd=False",957,1.2706,12159.69,1215.97,1.11,1.53,8.64,0,51.15,3.53,"{""vol_period"": 20, ""vol_mult"": 2.0, ""with_macd"": false}"
V7_G1_P007,group_g1_volume,"G1 vol vp=50 vm=1.0 macd=True",1092,1.3578,14827.224,1482.72,1.23,1.52,10.96,0,55.69,3.78,"{""vol_period"": 50, ""vol_mult"": 1.0, ""with_macd"": true}"
V7_G1_P008,group_g1_volume,"G1 vol vp=50 vm=1.0 macd=False",1112,1.342,14923.26,1492.33,1.21,1.5,11.91,0,55.84,3.71,"{""vol_period"": 50, ""vol_mult"": 1.0, ""with_macd"": false}"
V7_G1_P009,group_g1_volume,"G1 vol vp=50 vm=1.5 macd=True",1057,1.4701,15538.65,1553.86,1.22,1.54,9.37,0,56.79,3.78,"{""vol_period"": 50, ""vol_mult"": 1.5, ""with_macd"": true}"
V7_G1_P010,group_g1_volume,"G1 vol vp=50 vm=1.5 macd=False",1076,1.4575,15683.044,1568.3,1.21,1.52,9.33,0,57.01,3.77,"{""vol_period"": 50, ""vol_mult"": 1.5, ""with_macd"": false}"
V7_G1_P011,group_g1_volume,"G1 vol vp=50 vm=2.0 macd=True",992,1.3441,13333.678,1333.37,1.14,1.51,7.63,0,53.24,3.72,"{""vol_period"": 50, ""vol_mult"": 2.0, ""with_macd"": true}"
V7_G1_P012,group_g1_volume,"G1 vol vp=50 vm=2.0 macd=False",1006,1.3246,13325.678,1332.57,1.12,1.5,7.63,0,53.22,3.68,"{""vol_period"": 50, ""vol_mult"": 2.0, ""with_macd"": false}"
V7_G2_P001,group_g2_rsi,"G2 RSI p=14 max=70 macd=True",148,0.0531,78.523,7.85,0.04,1.09,11.09,0,1.22,0.21,"{""rsi_period"": 14, ""rsi_max"": 70, ""with_macd"": true}"
V7_G2_P002,group_g2_rsi,"G2 RSI p=14 max=70 macd=False",154,0.0233,35.833,3.58,0.02,1.04,13.54,0,0.57,0.1,"{""rsi_period"": 14, ""rsi_max"": 70, ""with_macd"": false}"
V7_G2_P003,group_g2_rsi,"G2 RSI p=14 max=75 macd=True",510,0.1272,648.944,64.89,0.27,1.18,16.85,0,8.35,1.48,"{""rsi_period"": 14, ""rsi_max"": 75, ""with_macd"": true}"
V7_G2_P004,group_g2_rsi,"G2 RSI p=14 max=75 macd=False",0,0,0,0,0,0,0,0,0,0,"{""rsi_period"": 14, ""rsi_max"": 75, ""with_macd"": false}"
V7_G2_P005,group_g2_rsi,"G2 RSI p=14 max=80 macd=True",0,0,0,0,0,0,0,0,0,0,"{""rsi_period"": 14, ""rsi_max"": 80, ""with_macd"": true}"
V7_G2_P006,group_g2_rsi,"G2 RSI p=14 max=80 macd=False",881,0.5807,5115.59,511.56,0.84,1.37,17.36,0,33.68,3.26,"{""rsi_period"": 14, ""rsi_max"": 80, ""with_macd"": false}"
V7_G2_P007,group_g2_rsi,"G2 RSI p=21 max=70 macd=True",461,0.0432,199.36,19.94,0.11,1.07,22.66,0,2.96,0.54,"{""rsi_period"": 21, ""rsi_max"": 70, ""with_macd"": true}"
V7_G2_P008,group_g2_rsi,"G2 RSI p=21 max=70 macd=False",471,0.0281,132.322,13.23,0.07,1.05,27.01,0,2.01,0.37,"{""rsi_period"": 21, ""rsi_max"": 70, ""with_macd"": false}"
V7_G2_P009,group_g2_rsi,"G2 RSI p=21 max=75 macd=True",839,0.4592,3852.719,385.27,0.78,1.36,11.24,0,28.81,3.16,"{""rsi_period"": 21, ""rsi_max"": 75, ""with_macd"": true}"
V7_G2_P010,group_g2_rsi,"G2 RSI p=21 max=75 macd=False",860,0.476,4093.952,409.4,0.79,1.35,12.16,0,29.82,3.15,"{""rsi_period"": 21, ""rsi_max"": 75, ""with_macd"": false}"
V7_G2_P011,group_g2_rsi,"G2 RSI p=21 max=80 macd=True",1009,1.0204,10296.142,1029.61,1.1,1.47,10.49,0,47.5,3.59,"{""rsi_period"": 21, ""rsi_max"": 80, ""with_macd"": true}"
V7_G2_P012,group_g2_rsi,"G2 RSI p=21 max=80 macd=False",0,0,0,0,0,0,0,0,0,0,"{""rsi_period"": 21, ""rsi_max"": 80, ""with_macd"": false}"
V7_G3_P001,group_g3_timeframe,"G3 tf=5m atr=0.4",0,0,0,0,0,0,0,0,0,0,"{""timeframe"": ""5m"", ""atr_mult"": 0.4}"
V7_G3_P002,group_g3_timeframe,"G3 tf=5m atr=0.6",0,0,0,0,0,0,0,0,0,0,"{""timeframe"": ""5m"", ""atr_mult"": 0.6}"
